samp,subpop,odor,segment,value
230913_ORL_GCaMP6f_F1,ORL,octanal4.58,0,0.006862554398830722
230913_ORL_GCaMP6f_F1,ORL,octanal4.09,0,0.0009592422546239796
230913_ORL_GCaMP6f_F1,ORL,octanal3.525,0,0.0009943345599122031
230913_ORL_GCaMP6f_F1,ORL,octanal3.09,0,-2.8762974228942195e-10
230913_ORL_GCaMP6f_F1,ORL,octanal1.595,0,0.0015145140041492283
230913_ORL_GCaMP6f_F1,ORL,nonanal4.56,0,0.002506757305926132
230913_ORL_GCaMP6f_F1,ORL,nonanal4.045,0,-2.874016103229793e-10
230913_ORL_GCaMP6f_F1,ORL,nonanal3.445,0,0.0013268169028474754
230913_ORL_GCaMP6f_F1,ORL,nonanal2.77,0,0.0022901848535313235
230913_ORL_GCaMP6f_F1,ORL,nonanal1.72,0,0.0012487109863271693
230913_ORL_GCaMP6f_F1,ORL,decanal4.53,0,0.011240150184935481
230913_ORL_GCaMP6f_F1,ORL,decanal4.015,0,0.0034162578850935096
230913_ORL_GCaMP6f_F1,ORL,decanal3.425,0,0.002000627490019261
230913_ORL_GCaMP6f_F1,ORL,decanal2.855,0,0.0012843640378294658
230913_ORL_GCaMP6f_F1,ORL,decanal2.18,0,-2.873322654025484e-10
230913_ORL_GCaMP6f_F1,ORL,undecanal4.145,0,0.0022311522597596766
230913_ORL_GCaMP6f_F1,ORL,undecanal3.9,0,0.0021621410515706265
230913_ORL_GCaMP6f_F1,ORL,undecanal3.205,0,0.0010813564782519726
230913_ORL_GCaMP6f_F1,ORL,undecanal2.765,0,-2.561068782177753e-10
230913_ORL_GCaMP6f_F1,ORL,undecanal2.375,0,0.0011304766991875703
230913_ORL_GCaMP6f_F1,ORL,paraffin,0,0.0
230913_ORL_GCaMP6f_F1,ORL,sulcatone-3,0,0.00179367965144446
230913_ORL_GCaMP6f_F1,ORL,phenol,0,0.01570737843494199
230913_ORL_GCaMP6f_F1,ORL,benzaldehyde,0,0.010335178263767524
230913_ORL_GCaMP6f_F1,ORL,oxoisophorone,0,0.00174759611523289
