sample	subpop	trial	odor	peak_value
230913_ORL_GCaMP6f_F1	ORL	1	hexanal4.375	0.00047553238
230913_ORL_GCaMP6f_F1	ORL	2	hexanal4.375	0.00047529227
230913_ORL_GCaMP6f_F2	ORL	1	hexanal4.375	0.0016024064
230913_ORL_GCaMP6f_F2	ORL	2	hexanal4.375	0.001476656
230914_ORL_GCaMP6f_F1	ORL	1	hexanal4.375	0.0010385505
230914_ORL_GCaMP6f_F1	ORL	2	hexanal4.375	0.0026673167
230914_ORL_GCaMP6f_F2	ORL	1	hexanal4.375	0.0026464667
230914_ORL_GCaMP6f_F2	ORL	2	hexanal4.375	0.0013172984
230915_ORL_GCaMP6f_F1	ORL	1	hexanal4.375	0.00039385358
230915_ORL_GCaMP6f_F1	ORL	2	hexanal4.375	0.0009090515
230913_U52_GCaMP6f_F2	U52	1	hexanal4.375	0.0014604712
230913_U52_GCaMP6f_F2	U52	2	hexanal4.375	0.00041806413
230913_U52_GCaMP6f_F3	U52	1	hexanal4.375	0.0009717479
230913_U52_GCaMP6f_F3	U52	2	hexanal4.375	0.0011893718
230914_U52_GCaMP6f_F1	U52	1	hexanal4.375	0.0024617063
230914_U52_GCaMP6f_F1	U52	2	hexanal4.375	0.0010204775
230914_U52_GCaMP6f_F2	U52	1	hexanal4.375	0.0022254959
230914_U52_GCaMP6f_F2	U52	2	hexanal4.375	0.0013795026
230915_U52_GCaMP6f_F2	U52	1	hexanal4.375	0.0017835996
230915_U52_GCaMP6f_F2	U52	2	hexanal4.375	0.0014448441
230913_FCV_GCaMP6f_F1	FCV	1	hexanal4.375	0.00070880674
230913_FCV_GCaMP6f_F1	FCV	2	hexanal4.375	0.00028909298
230914_FCV_GCaMP6f_F1	FCV	1	hexanal4.375	0.0020890783
230914_FCV_GCaMP6f_F1	FCV	2	hexanal4.375	0.0013839897
230914_FCV_GCaMP6f_F2	FCV	1	hexanal4.375	0.002807344
230914_FCV_GCaMP6f_F2	FCV	2	hexanal4.375	0.0012012558
230914_FCV_GCaMP6f_F3	FCV	1	hexanal4.375	0.004086899
