samp,subpop,trial,odor,value,odor_order,value_detrended
230913_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.00094684056,0,0.00094684056
230913_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.0018824504,36,0.0015830040390365466
230913_ORL_GCaMP6f_F2,ORL,1,hexanal4.375,0.0026804085,0,0.0026804085
230913_ORL_GCaMP6f_F2,ORL,2,hexanal4.375,0.0016424323,36,0.0017335620027321517
230914_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.0008854863,0,0.0008854863
230914_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.0032238215,36,0.003372207104372707
230914_ORL_GCaMP6f_F2,ORL,1,hexanal4.375,0.0025036843,0,0.0025036843
230914_ORL_GCaMP6f_F2,ORL,2,hexanal4.375,0.0005922518,36,0.0008623678176751076
230915_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.0007917968,0,0.0007917968
230915_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.00035839435,36,0.0004933080942452255
230913_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.0008827513,0,0.0008827513
230913_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.0002818523,36,0.0006264902270064907
230913_U52_GCaMP6f_F3,U52,1,hexanal4.375,0.0006202261,0,0.0006202261
230913_U52_GCaMP6f_F3,U52,2,hexanal4.375,0.0014622782,36,0.00161082364753554
230914_U52_GCaMP6f_F1,U52,1,hexanal4.375,0.00159618,0,0.00159618
230914_U52_GCaMP6f_F1,U52,2,hexanal4.375,0.0007196737,36,0.0016250565836121596
230914_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.00092828745,0,0.00092828745
230914_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.0015190606,36,0.003523983822803175
230915_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.0009784158,0,0.0009784158
230915_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.00095081417,36,0.0016687308369623414
230914_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.002456449,0,0.002456449
230914_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.0007011468,36,0.001386402137594987
230914_FCV_GCaMP6f_F2,FCV,1,hexanal4.375,0.00084514974,0,0.00084514974
230914_FCV_GCaMP6f_F2,FCV,2,hexanal4.375,0.00086924573,36,0.0017226616740428774
230914_FCV_GCaMP6f_F3,FCV,1,hexanal4.375,0.0032512185,0,0.0032512185
230914_FCV_GCaMP6f_F3,FCV,2,hexanal4.375,0.0009312129,36,0.001740604820804795
230915_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.0021128133,0,0.0021128133
230915_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.0014335271,36,0.0037048319901847515
230913_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.0012757563,1,0.00126963147249343
230913_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.0018365923,37,0.0015370259433992795
230913_ORL_GCaMP6f_F2,ORL,1,hexanal4.03,0.0014830162,1,0.0014852423935277344
230913_ORL_GCaMP6f_F2,ORL,2,hexanal4.03,0.0018205014,37,0.001924395625476968
230914_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.0008661377,1,0.0008672210490771122
230914_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.003202206,37,0.003353786302991426
