samp,subpop,trial,odor,value,odor_order
230914_ORL_GCaMP6f_F2,ORL,1,octanal4.58,0.2537835,6
230914_ORL_GCaMP6f_F2,ORL,2,octanal4.58,0.19243231,6
230913_U52_GCaMP6f_F3,U52,1,octanal4.58,0.12407371,6
230913_U52_GCaMP6f_F3,U52,2,octanal4.58,0.049115438,6
230914_ORL_GCaMP6f_F2,ORL,1,nonanal4.56,0.28586304,11
230914_ORL_GCaMP6f_F2,ORL,2,nonanal4.56,0.207932,11
230913_U52_GCaMP6f_F3,U52,1,nonanal4.56,0.09857571,11
230913_U52_GCaMP6f_F3,U52,2,nonanal4.56,0.061010573,11
230914_ORL_GCaMP6f_F2,ORL,1,decanal4.53,0.5355158,16
230914_ORL_GCaMP6f_F2,ORL,2,decanal4.53,0.2916296,16
230913_U52_GCaMP6f_F3,U52,1,decanal4.53,0.118390605,16
230913_U52_GCaMP6f_F3,U52,2,decanal4.53,0.050654948,16
230914_ORL_GCaMP6f_F2,ORL,1,paraffin,0.022273868,26
230914_ORL_GCaMP6f_F2,ORL,2,paraffin,0.022935243,26
230913_U52_GCaMP6f_F3,U52,1,paraffin,0.004229847,26
230913_U52_GCaMP6f_F3,U52,2,paraffin,0.0004809872,26
230914_ORL_GCaMP6f_F2,ORL,1,oxoisophorone,0.63361,31
230914_ORL_GCaMP6f_F2,ORL,2,oxoisophorone,0.46153587,31
230913_U52_GCaMP6f_F3,U52,1,oxoisophorone,0.15536107,31
230913_U52_GCaMP6f_F3,U52,2,oxoisophorone,0.14322804,31
