samp,subpop,trial,odor,value,odor_order
230914_ORL_GCaMP6f_F2,ORL,1,octanal4.58,0.24111627,6
230914_ORL_GCaMP6f_F2,ORL,2,octanal4.58,0.1699625,6
230913_U52_GCaMP6f_F3,U52,1,octanal4.58,0.12334811,6
230913_U52_GCaMP6f_F3,U52,2,octanal4.58,0.057042263,6
230914_ORL_GCaMP6f_F2,ORL,1,nonanal4.56,0.26814783,11
230914_ORL_GCaMP6f_F2,ORL,2,nonanal4.56,0.18563993,11
230913_U52_GCaMP6f_F3,U52,1,nonanal4.56,0.09629956,11
230913_U52_GCaMP6f_F3,U52,2,nonanal4.56,0.091695726,11
230914_ORL_GCaMP6f_F2,ORL,1,decanal4.53,0.53735423,16
230914_ORL_GCaMP6f_F2,ORL,2,decanal4.53,0.2775357,16
230913_U52_GCaMP6f_F3,U52,1,decanal4.53,0.11658144,16
230913_U52_GCaMP6f_F3,U52,2,decanal4.53,0.10227831,16
230914_ORL_GCaMP6f_F2,ORL,1,paraffin,0.53735423,26
230914_ORL_GCaMP6f_F2,ORL,2,paraffin,0.2775357,26
230913_U52_GCaMP6f_F3,U52,1,paraffin,0.11658144,26
230913_U52_GCaMP6f_F3,U52,2,paraffin,0.10227831,26
230914_ORL_GCaMP6f_F2,ORL,1,oxoisophorone,0.6321267,31
230914_ORL_GCaMP6f_F2,ORL,2,oxoisophorone,0.4568806,31
230913_U52_GCaMP6f_F3,U52,1,oxoisophorone,0.15887117,31
230913_U52_GCaMP6f_F3,U52,2,oxoisophorone,0.25251055,31
