samp,subpop,trial,odor,value,odor_order
230913_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.0013922097,0
230913_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.0021275384,0
230913_ORL_GCaMP6f_F2,ORL,1,hexanal4.375,0.048644822,0
230913_ORL_GCaMP6f_F2,ORL,2,hexanal4.375,0.012560475,0
230914_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.006902515,0
230914_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.023154227,0
230914_ORL_GCaMP6f_F2,ORL,1,hexanal4.375,0.024258755,0
230914_ORL_GCaMP6f_F2,ORL,2,hexanal4.375,0.016229557,0
230915_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.00049380073,0
230915_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.006907897,0
230913_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.0050445283,0
230913_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.0014760644,0
230913_U52_GCaMP6f_F3,U52,1,hexanal4.375,0.0031967883,0
230913_U52_GCaMP6f_F3,U52,2,hexanal4.375,0.00838415,0
230914_U52_GCaMP6f_F1,U52,1,hexanal4.375,0.014177741,0
230914_U52_GCaMP6f_F1,U52,2,hexanal4.375,0.009662455,0
230914_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.01652115,0
230914_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.012534799,0
230915_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.0012749739,0
230915_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.011106992,0
230913_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.0066331527,0
230913_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.0012575975,0
230914_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.006496819,0
230914_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.015706241,0
230914_FCV_GCaMP6f_F2,FCV,1,hexanal4.375,0.040358286,0
230914_FCV_GCaMP6f_F2,FCV,2,hexanal4.375,0.011957171,0
230914_FCV_GCaMP6f_F3,FCV,1,hexanal4.375,0.08662441,0
230914_FCV_GCaMP6f_F3,FCV,2,hexanal4.375,0.026812533,0
230915_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.00854364,0
230915_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.00767418,0
230913_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.028625606,1
230913_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.0063696755,1
230913_ORL_GCaMP6f_F2,ORL,1,hexanal4.03,0.021719411,1
230913_ORL_GCaMP6f_F2,ORL,2,hexanal4.03,0.008244058,1
230914_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.0017413466,1
230914_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.0168511,1
230914_ORL_GCaMP6f_F2,ORL,1,hexanal4.03,0.0130193215,1
230914_ORL_GCaMP6f_F2,ORL,2,hexanal4.03,0.012379176,1
230915_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.001981888,1
230915_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.0046171825,1
230913_U52_GCaMP6f_F2,U52,1,hexanal4.03,0.00038279835,1
230913_U52_GCaMP6f_F2,U52,2,hexanal4.03,0.00014759594,1
230913_U52_GCaMP6f_F3,U52,1,hexanal4.03,0.0028521582,1
230913_U52_GCaMP6f_F3,U52,2,hexanal4.03,0.0019093251,1
230914_U52_GCaMP6f_F1,U52,1,hexanal4.03,0.0025577487,1
230914_U52_GCaMP6f_F1,U52,2,hexanal4.03,0.0129371565,1
230914_U52_GCaMP6f_F2,U52,1,hexanal4.03,0.021865554,1
230914_U52_GCaMP6f_F2,U52,2,hexanal4.03,0.008354648,1
230915_U52_GCaMP6f_F2,U52,1,hexanal4.03,0.004403697,1
230915_U52_GCaMP6f_F2,U52,2,hexanal4.03,0.010419516,1
230913_FCV_GCaMP6f_F1,FCV,1,hexanal4.03,0.0055789812,1
230913_FCV_GCaMP6f_F1,FCV,2,hexanal4.03,0.0034450204,1
230914_FCV_GCaMP6f_F1,FCV,1,hexanal4.03,0.017962286,1
230914_FCV_GCaMP6f_F1,FCV,2,hexanal4.03,0.016564665,1
230914_FCV_GCaMP6f_F2,FCV,1,hexanal4.03,0.027274882,1
230914_FCV_GCaMP6f_F2,FCV,2,hexanal4.03,0.015017087,1
230914_FCV_GCaMP6f_F3,FCV,1,hexanal4.03,0.016503956,1
230914_FCV_GCaMP6f_F3,FCV,2,hexanal4.03,0.024468835,1
230915_FCV_GCaMP6f_F1,FCV,1,hexanal4.03,0.005022451,1
230915_FCV_GCaMP6f_F1,FCV,2,hexanal4.03,0.008920111,1
230913_ORL_GCaMP6f_F1,ORL,1,hexanal2.825,0.049861144,2
230913_ORL_GCaMP6f_F1,ORL,2,hexanal2.825,0.01665882,2
230913_ORL_GCaMP6f_F2,ORL,1,hexanal2.825,0.0023398376,2
230913_ORL_GCaMP6f_F2,ORL,2,hexanal2.825,0.05200306,2
230914_ORL_GCaMP6f_F1,ORL,1,hexanal2.825,0.026595483,2
230914_ORL_GCaMP6f_F1,ORL,2,hexanal2.825,0.0188035,2
230914_ORL_GCaMP6f_F2,ORL,1,hexanal2.825,0.03182079,2
230914_ORL_GCaMP6f_F2,ORL,2,hexanal2.825,0.0069760983,2
230915_ORL_GCaMP6f_F1,ORL,1,hexanal2.825,0.0037340226,2
230915_ORL_GCaMP6f_F1,ORL,2,hexanal2.825,0.0024642686,2
230913_U52_GCaMP6f_F2,U52,1,hexanal2.825,0.000598926,2
230913_U52_GCaMP6f_F2,U52,2,hexanal2.825,0.027650112,2
230913_U52_GCaMP6f_F3,U52,1,hexanal2.825,0.0035020774,2
230913_U52_GCaMP6f_F3,U52,2,hexanal2.825,0.0013621147,2
230914_U52_GCaMP6f_F1,U52,1,hexanal2.825,0.006585814,2
230914_U52_GCaMP6f_F1,U52,2,hexanal2.825,0.013078141,2
