samp,subpop,trial,odor,value,odor_order
230913_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.0018470251,0
230913_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.039194252,0
230913_ORL_GCaMP6f_F2,ORL,1,hexanal4.375,0.005271591,0
230913_ORL_GCaMP6f_F2,ORL,2,hexanal4.375,0.0046717133,0
230914_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.0019190562,0
230914_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.0070765237,0
230914_ORL_GCaMP6f_F2,ORL,1,hexanal4.375,0.0060805357,0
230914_ORL_GCaMP6f_F2,ORL,2,hexanal4.375,0.0008700593,0
230915_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.001283978,0
230915_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.0,0
230913_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.012398782,0
230913_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.0008412881,0
230913_U52_GCaMP6f_F3,U52,1,hexanal4.375,0.0,0
230913_U52_GCaMP6f_F3,U52,2,hexanal4.375,0.014834996,0
230914_U52_GCaMP6f_F1,U52,1,hexanal4.375,0.0066648815,0
230914_U52_GCaMP6f_F1,U52,2,hexanal4.375,0.0,0
230914_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.0040816274,0
230914_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.032098185,0
230915_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.0020564767,0
230915_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.0013153033,0
230913_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.0014032684,0
230913_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.0010379809,0
230914_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.0080254255,0
230914_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.00067283586,0
230914_FCV_GCaMP6f_F2,FCV,1,hexanal4.375,0.007103188,0
230914_FCV_GCaMP6f_F2,FCV,2,hexanal4.375,0.0036129502,0
230914_FCV_GCaMP6f_F3,FCV,1,hexanal4.375,0.07536733,0
230914_FCV_GCaMP6f_F3,FCV,2,hexanal4.375,0.00095550827,0
230915_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.0020787278,0
230915_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.0025126257,0
230913_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.0024397215,1
230913_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.04453003,1
230913_ORL_GCaMP6f_F2,ORL,1,hexanal4.03,0.0,1
230913_ORL_GCaMP6f_F2,ORL,2,hexanal4.03,0.00651169,1
230914_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.0011208245,1
230914_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.0071511106,1
230914_ORL_GCaMP6f_F2,ORL,1,hexanal4.03,0.0056185257,1
230914_ORL_GCaMP6f_F2,ORL,2,hexanal4.03,0.00025115907,1
230915_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.0015424066,1
230915_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.00027130573,1
230913_U52_GCaMP6f_F2,U52,1,hexanal4.03,0.010648753,1
230913_U52_GCaMP6f_F2,U52,2,hexanal4.03,0.0013173469,1
230913_U52_GCaMP6f_F3,U52,1,hexanal4.03,0.0,1
230913_U52_GCaMP6f_F3,U52,2,hexanal4.03,0.018192992,1
230914_U52_GCaMP6f_F1,U52,1,hexanal4.03,0.0029682717,1
230914_U52_GCaMP6f_F1,U52,2,hexanal4.03,0.010977788,1
230914_U52_GCaMP6f_F2,U52,1,hexanal4.03,0.008591664,1
230914_U52_GCaMP6f_F2,U52,2,hexanal4.03,0.0111807985,1
230915_U52_GCaMP6f_F2,U52,1,hexanal4.03,0.029065732,1
230915_U52_GCaMP6f_F2,U52,2,hexanal4.03,0.002346455,1
230913_FCV_GCaMP6f_F1,FCV,1,hexanal4.03,0.0060995943,1
230913_FCV_GCaMP6f_F1,FCV,2,hexanal4.03,0.0007954258,1
230914_FCV_GCaMP6f_F1,FCV,1,hexanal4.03,0.014575957,1
230914_FCV_GCaMP6f_F1,FCV,2,hexanal4.03,0.0012727361,1
230914_FCV_GCaMP6f_F2,FCV,1,hexanal4.03,0.0051136967,1
230914_FCV_GCaMP6f_F2,FCV,2,hexanal4.03,0.0056717847,1
230914_FCV_GCaMP6f_F3,FCV,1,hexanal4.03,0.004864472,1
230914_FCV_GCaMP6f_F3,FCV,2,hexanal4.03,0.0,1
230915_FCV_GCaMP6f_F1,FCV,1,hexanal4.03,0.0038721024,1
230915_FCV_GCaMP6f_F1,FCV,2,hexanal4.03,0.0036738606,1
230913_ORL_GCaMP6f_F1,ORL,1,hexanal2.825,0.024575561,2
230913_ORL_GCaMP6f_F1,ORL,2,hexanal2.825,0.058266185,2
230913_ORL_GCaMP6f_F2,ORL,1,hexanal2.825,0.0025970044,2
230913_ORL_GCaMP6f_F2,ORL,2,hexanal2.825,0.004468209,2
230914_ORL_GCaMP6f_F1,ORL,1,hexanal2.825,0.014092995,2
230914_ORL_GCaMP6f_F1,ORL,2,hexanal2.825,0.0049968455,2
230914_ORL_GCaMP6f_F2,ORL,1,hexanal2.825,0.013072962,2
230914_ORL_GCaMP6f_F2,ORL,2,hexanal2.825,0.001506117,2
230915_ORL_GCaMP6f_F1,ORL,1,hexanal2.825,0.0031834797,2
230915_ORL_GCaMP6f_F1,ORL,2,hexanal2.825,0.0,2
230913_U52_GCaMP6f_F2,U52,1,hexanal2.825,0.0007407191,2
230913_U52_GCaMP6f_F2,U52,2,hexanal2.825,0.028858041,2
230913_U52_GCaMP6f_F3,U52,1,hexanal2.825,0.0,2
230913_U52_GCaMP6f_F3,U52,2,hexanal2.825,0.003080359,2
230914_U52_GCaMP6f_F1,U52,1,hexanal2.825,0.0028205724,2
230914_U52_GCaMP6f_F1,U52,2,hexanal2.825,0.007976591,2
230914_U52_GCaMP6f_F2,U52,1,hexanal2.825,0.031358626,2
230914_U52_GCaMP6f_F2,U52,2,hexanal2.825,0.0005386773,2
230915_U52_GCaMP6f_F2,U52,1,hexanal2.825,0.0033758713,2
230915_U52_GCaMP6f_F2,U52,2,hexanal2.825,0.009537265,2
230913_FCV_GCaMP6f_F1,FCV,1,hexanal2.825,0.000326603,2
230913_FCV_GCaMP6f_F1,FCV,2,hexanal2.825,0.00072685047,2
230914_FCV_GCaMP6f_F1,FCV,1,hexanal2.825,0.002919244,2
230914_FCV_GCaMP6f_F1,FCV,2,hexanal2.825,0.0,2
