samp,subpop,trial,odor,value,odor_order
230914_ORL_GCaMP6f_F2,ORL,1,octanal4.58,0.017849946,6
230914_ORL_GCaMP6f_F2,ORL,2,octanal4.58,0.012243335,6
230913_U52_GCaMP6f_F3,U52,1,octanal4.58,0.009558862,6
230913_U52_GCaMP6f_F3,U52,2,octanal4.58,0.0048062988,6
230914_ORL_GCaMP6f_F2,ORL,1,nonanal4.56,0.019161878,11
230914_ORL_GCaMP6f_F2,ORL,2,nonanal4.56,0.01238697,11
230913_U52_GCaMP6f_F3,U52,1,nonanal4.56,0.008035072,11
230913_U52_GCaMP6f_F3,U52,2,nonanal4.56,0.004944797,11
230914_ORL_GCaMP6f_F2,ORL,1,decanal4.53,0.016888078,16
230914_ORL_GCaMP6f_F2,ORL,2,decanal4.53,0.011365955,16
230913_U52_GCaMP6f_F3,U52,1,decanal4.53,0.0062165707,16
230913_U52_GCaMP6f_F3,U52,2,decanal4.53,0.003254064,16
230914_ORL_GCaMP6f_F2,ORL,1,paraffin,0.0022184828,26
230914_ORL_GCaMP6f_F2,ORL,2,paraffin,0.0020156892,26
230913_U52_GCaMP6f_F3,U52,1,paraffin,0.0008584958,26
230913_U52_GCaMP6f_F3,U52,2,paraffin,0.0002565959,26
230914_ORL_GCaMP6f_F2,ORL,1,oxoisophorone,0.0196446,31
230914_ORL_GCaMP6f_F2,ORL,2,oxoisophorone,0.015642028,31
230913_U52_GCaMP6f_F3,U52,1,oxoisophorone,0.010402753,31
230913_U52_GCaMP6f_F3,U52,2,oxoisophorone,0.0098652365,31
