samp,subpop,trial,odor,value,odor_order
230913_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.00094684056,0
230913_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.0018824504,0
230913_ORL_GCaMP6f_F2,ORL,1,hexanal4.375,0.0026804085,0
230913_ORL_GCaMP6f_F2,ORL,2,hexanal4.375,0.0016424323,0
230914_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.0008854863,0
230914_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.0032238215,0
230914_ORL_GCaMP6f_F2,ORL,1,hexanal4.375,0.0025036843,0
230914_ORL_GCaMP6f_F2,ORL,2,hexanal4.375,0.0005922518,0
230915_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.0007917968,0
230915_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.00035839435,0
230913_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.0008827513,0
230913_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.0002818523,0
230913_U52_GCaMP6f_F3,U52,1,hexanal4.375,0.0006202261,0
230913_U52_GCaMP6f_F3,U52,2,hexanal4.375,0.0014622782,0
230914_U52_GCaMP6f_F1,U52,1,hexanal4.375,0.00159618,0
230914_U52_GCaMP6f_F1,U52,2,hexanal4.375,0.0007196737,0
230914_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.00092828745,0
230914_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.0015190606,0
230915_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.0009784158,0
230915_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.00095081417,0
230913_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.00060419756,0
230913_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.0003860789,0
230914_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.002456449,0
230914_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.0007011468,0
230914_FCV_GCaMP6f_F2,FCV,1,hexanal4.375,0.00084514974,0
230914_FCV_GCaMP6f_F2,FCV,2,hexanal4.375,0.00086924573,0
230914_FCV_GCaMP6f_F3,FCV,1,hexanal4.375,0.0032512185,0
230914_FCV_GCaMP6f_F3,FCV,2,hexanal4.375,0.0009312129,0
230915_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.0021128133,0
230915_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.0014335271,0
230913_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.0012757563,1
230913_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.0018365923,1
230913_ORL_GCaMP6f_F2,ORL,1,hexanal4.03,0.0014830162,1
230913_ORL_GCaMP6f_F2,ORL,2,hexanal4.03,0.0018205014,1
230914_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.0008661377,1
230914_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.003202206,1
230914_ORL_GCaMP6f_F2,ORL,1,hexanal4.03,0.0026439214,1
230914_ORL_GCaMP6f_F2,ORL,2,hexanal4.03,0.00038220652,1
230915_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.00041546434,1
230915_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.00047017715,1
230913_U52_GCaMP6f_F2,U52,1,hexanal4.03,0.00083125354,1
230913_U52_GCaMP6f_F2,U52,2,hexanal4.03,0.0003388854,1
230913_U52_GCaMP6f_F3,U52,1,hexanal4.03,0.0013016555,1
230913_U52_GCaMP6f_F3,U52,2,hexanal4.03,0.0018140336,1
230914_U52_GCaMP6f_F1,U52,1,hexanal4.03,0.000865206,1
230914_U52_GCaMP6f_F1,U52,2,hexanal4.03,0.000715186,1
230914_U52_GCaMP6f_F2,U52,1,hexanal4.03,0.002285209,1
230914_U52_GCaMP6f_F2,U52,2,hexanal4.03,0.0009538649,1
230915_U52_GCaMP6f_F2,U52,1,hexanal4.03,0.0024170445,1
230915_U52_GCaMP6f_F2,U52,2,hexanal4.03,0.00085076876,1
230913_FCV_GCaMP6f_F1,FCV,1,hexanal4.03,0.00083625223,1
230913_FCV_GCaMP6f_F1,FCV,2,hexanal4.03,0.00032967434,1
230914_FCV_GCaMP6f_F1,FCV,1,hexanal4.03,0.0021190243,1
230914_FCV_GCaMP6f_F1,FCV,2,hexanal4.03,0.00092473556,1
230914_FCV_GCaMP6f_F2,FCV,1,hexanal4.03,0.0008272468,1
230914_FCV_GCaMP6f_F2,FCV,2,hexanal4.03,0.0007720135,1
230914_FCV_GCaMP6f_F3,FCV,1,hexanal4.03,0.0007417689,1
230914_FCV_GCaMP6f_F3,FCV,2,hexanal4.03,0.0006777806,1
230915_FCV_GCaMP6f_F1,FCV,1,hexanal4.03,0.0021594467,1
230915_FCV_GCaMP6f_F1,FCV,2,hexanal4.03,0.0018101144,1
230913_ORL_GCaMP6f_F1,ORL,1,hexanal2.825,0.0011334599,2
230913_ORL_GCaMP6f_F1,ORL,2,hexanal2.825,0.002753315,2
230913_ORL_GCaMP6f_F2,ORL,1,hexanal2.825,0.001986456,2
230913_ORL_GCaMP6f_F2,ORL,2,hexanal2.825,0.001511498,2
230914_ORL_GCaMP6f_F1,ORL,1,hexanal2.825,0.001473785,2
230914_ORL_GCaMP6f_F1,ORL,2,hexanal2.825,0.002508296,2
230914_ORL_GCaMP6f_F2,ORL,1,hexanal2.825,0.003275399,2
230914_ORL_GCaMP6f_F2,ORL,2,hexanal2.825,0.0010771429,2
230915_ORL_GCaMP6f_F1,ORL,1,hexanal2.825,0.0005816169,2
230915_ORL_GCaMP6f_F1,ORL,2,hexanal2.825,0.0003414665,2
230913_U52_GCaMP6f_F2,U52,1,hexanal2.825,0.00086274697,2
230913_U52_GCaMP6f_F2,U52,2,hexanal2.825,0.0011048415,2
230913_U52_GCaMP6f_F3,U52,1,hexanal2.825,0.0009691549,2
230913_U52_GCaMP6f_F3,U52,2,hexanal2.825,0.0010015095,2
230914_U52_GCaMP6f_F1,U52,1,hexanal2.825,0.000716233,2
230914_U52_GCaMP6f_F1,U52,2,hexanal2.825,0.0011261745,2
230914_U52_GCaMP6f_F2,U52,1,hexanal2.825,0.0038529413,2
230914_U52_GCaMP6f_F2,U52,2,hexanal2.825,0.00064775615,2
230915_U52_GCaMP6f_F2,U52,1,hexanal2.825,0.0010821072,2
230915_U52_GCaMP6f_F2,U52,2,hexanal2.825,0.0012964318,2
230913_FCV_GCaMP6f_F1,FCV,1,hexanal2.825,0.00041595782,2
230913_FCV_GCaMP6f_F1,FCV,2,hexanal2.825,0.0003507483,2
230914_FCV_GCaMP6f_F1,FCV,1,hexanal2.825,0.0014892041,2
230914_FCV_GCaMP6f_F1,FCV,2,hexanal2.825,0.000812875,2
230914_FCV_GCaMP6f_F2,FCV,1,hexanal2.825,0.0008244229,2
230914_FCV_GCaMP6f_F2,FCV,2,hexanal2.825,0.0008200208,2
230914_FCV_GCaMP6f_F3,FCV,1,hexanal2.825,0.0020893924,2
230914_FCV_GCaMP6f_F3,FCV,2,hexanal2.825,0.00042057212,2
230915_FCV_GCaMP6f_F1,FCV,1,hexanal2.825,0.0028171989,2
230915_FCV_GCaMP6f_F1,FCV,2,hexanal2.825,0.0012084439,2
230913_ORL_GCaMP6f_F1,ORL,1,heptanal4.51,0.0012594517,3
