samp,subpop,trial,odor,value,odor_order,value_detrended
230913_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.0013922097,0,0.0013922097
230913_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.0021275384,36,0.0020990096340494807
230913_ORL_GCaMP6f_F2,ORL,1,hexanal4.375,0.048644822,0,0.048644822
230913_ORL_GCaMP6f_F2,ORL,2,hexanal4.375,0.012560475,36,0.011740624166604586
230914_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.006902515,0,0.006902515
230914_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.023154227,36,0.022690069360379574
230914_ORL_GCaMP6f_F2,ORL,1,hexanal4.375,0.024258755,0,0.024258755
230914_ORL_GCaMP6f_F2,ORL,2,hexanal4.375,0.016229557,36,0.0222387015919573
230915_ORL_GCaMP6f_F1,ORL,1,hexanal4.375,0.00049380073,0,0.00049380073
230915_ORL_GCaMP6f_F1,ORL,2,hexanal4.375,0.006907897,36,0.010058471853719013
230913_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.0050445283,0,0.0050445283
230913_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.0014760644,36,0.004174018983427574
230913_U52_GCaMP6f_F3,U52,1,hexanal4.375,0.0031967883,0,0.0031967883
230913_U52_GCaMP6f_F3,U52,2,hexanal4.375,0.00838415,36,0.013448169748904526
230914_U52_GCaMP6f_F1,U52,1,hexanal4.375,0.014177741,0,0.014177741
230914_U52_GCaMP6f_F1,U52,2,hexanal4.375,0.009662455,36,0.028645539930750166
230914_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.01652115,0,0.01652115
230914_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.012534799,36,0.03741264303578689
230915_U52_GCaMP6f_F2,U52,1,hexanal4.375,0.0012749739,0,0.0012749739
230915_U52_GCaMP6f_F2,U52,2,hexanal4.375,0.011106992,36,0.016803292005447952
230914_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.006496819,0,0.006496819
230914_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.015706241,36,0.03263248123659524
230914_FCV_GCaMP6f_F2,FCV,1,hexanal4.375,0.040358286,0,0.040358286
230914_FCV_GCaMP6f_F2,FCV,2,hexanal4.375,0.011957171,36,0.025695893215790546
230914_FCV_GCaMP6f_F3,FCV,1,hexanal4.375,0.08662441,0,0.08662441
230914_FCV_GCaMP6f_F3,FCV,2,hexanal4.375,0.026812533,36,0.049223415124818384
230915_FCV_GCaMP6f_F1,FCV,1,hexanal4.375,0.00854364,0,0.00854364
230915_FCV_GCaMP6f_F1,FCV,2,hexanal4.375,0.00767418,36,0.013468605347351587
230913_ORL_GCaMP6f_F1,ORL,1,hexanal4.03,0.028625606,1,0.028614873410236354
230913_ORL_GCaMP6f_F1,ORL,2,hexanal4.03,0.0063696755,37,0.006281906557545654
230913_ORL_GCaMP6f_F2,ORL,1,hexanal4.03,0.021719411,1,0.021678725259176673
